verb,telicity,perfectivity,iterativity,mannspec,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,part29,part30
wash,atelic,imperf,iter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,3,1,6,5,7,5,6,7,4,7
wash,atelic,perf,noiter,spec,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,1,7,5,3,4,4,7,3,7
wash,atelic,perf,iter,spec,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,4,3,7,5,4,2,6,7,4,7
watch,atelic,imperf,noiter,nospec,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,5,3,7,7,7,7,4,7,7,7
watch,atelic,imperf,iter,nospec,6,7,7,6,7,5,7,7,7,6,7,7,7,7,7,7,7,4,6,7,3,1,7,6,7,3,5,7,5,2
watch,atelic,perf,noiter,nospec,7,7,7,4,7,7,7,6,7,7,7,7,6,6,7,7,1,5,6,5,6,5,7,5,6,4,5,2,7,2
watch,atelic,perf,iter,nospec,1,7,7,5,7,4,7,3,7,5,7,7,6,6,7,7,7,2,4,6,5,1,6,3,5,2,4,7,5,1
write,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
write,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
write,atelic,perf,noiter,nospec,7,6,7,5,7,5,7,7,7,6,7,7,7,6,7,7,7,4,7,7,3,7,7,5,7,4,6,6,5,7
write,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,3,7,7,6,7,7,7,7,7,7
