verb,mannspec
accoltellare,yes
affettare,yes
avvelenare,yes
bere,no
cantare,no
canticchiare,yes
costruire,no
cucinare,no
cucire,no
decapitare,yes
divorare,yes
firmare,yes
fumare,no
guardare,no
insegnare,no
lavare,yes
lucidare,yes
mangiare,no
pulire,no
ricamare,yes
rompere,no
rubare,no
scarabocchiare,yes
scrivere,no
sorseggiare,yes
spaccare,yes
tagliare,no
trangugiare,yes
uccidere,no
versare,no
